Country,Date,Total Confirmed Cases,Daily New Cases
Norway,2020-03-18,1550,87.0
Norway,2020-03-19,1746,196.0
Norway,2020-03-20,1914,168.0
Norway,2020-03-21,2118,204.0
Norway,2020-03-22,2385,267.0
Norway,2020-03-23,2621,236.0
Norway,2020-03-24,2863,242.0
Norway,2020-03-25,3084,221.0
Norway,2020-03-26,3369,285.0
Norway,2020-03-27,3755,386.0
Norway,2020-03-28,4015,260.0
Sweden,2020-01-22,0,0.0
Sweden,2020-01-23,0,0.0
Sweden,2020-01-24,0,0.0
Sweden,2020-01-25,0,0.0
Sweden,2020-01-26,0,0.0
Sweden,2020-01-27,0,0.0
Sweden,2020-01-28,0,0.0
Sweden,2020-01-29,0,0.0
Sweden,2020-01-30,0,0.0
Sweden,2020-01-31,1,1.0
Sweden,2020-02-01,1,0.0
Sweden,2020-02-02,1,0.0
Sweden,2020-02-03,1,0.0
Sweden,2020-02-04,1,0.0
Sweden,2020-02-05,1,0.0
Sweden,2020-02-06,1,0.0
Sweden,2020-02-07,1,0.0
Sweden,2020-02-08,1,0.0
Sweden,2020-02-09,1,0.0
Sweden,2020-02-10,1,0.0
Sweden,2020-02-11,1,0.0
Sweden,2020-02-12,1,0.0
Sweden,2020-02-13,1,0.0
Sweden,2020-02-14,1,0.0
Sweden,2020-02-15,1,0.0
Sweden,2020-02-16,1,0.0
Sweden,2020-02-17,1,0.0
Sweden,2020-02-18,1,0.0
Sweden,2020-02-19,1,0.0
Sweden,2020-02-20,1,0.0
Sweden,2020-02-21,1,0.0
Sweden,2020-02-22,1,0.0
Sweden,2020-02-23,1,0.0
Sweden,2020-02-24,1,0.0
Sweden,2020-02-25,1,0.0
Sweden,2020-02-26,2,1.0
Sweden,2020-02-27,7,5.0
Sweden,2020-02-28,7,0.0
Sweden,2020-02-29,12,5.0
Sweden,2020-03-01,14,2.0
Sweden,2020-03-02,15,1.0
Sweden,2020-03-03,21,6.0
Sweden,2020-03-04,35,14.0
Sweden,2020-03-05,94,59.0
Sweden,2020-03-06,101,7.0
Sweden,2020-03-07,161,60.0
Sweden,2020-03-08,203,42.0
Sweden,2020-03-09,248,45.0
Sweden,2020-03-10,355,107.0
Sweden,2020-03-11,500,145.0
Sweden,2020-03-12,599,99.0
Sweden,2020-03-13,814,215.0
Sweden,2020-03-14,961,147.0
Sweden,2020-03-15,1022,61.0
Sweden,2020-03-16,1103,81.0
Sweden,2020-03-17,1190,87.0
Sweden,2020-03-18,1279,89.0
Sweden,2020-03-19,1439,160.0
Sweden,2020-03-20,1639,200.0
Sweden,2020-03-21,1763,124.0
Sweden,2020-03-22,1934,171.0
Sweden,2020-03-23,2046,112.0
Sweden,2020-03-24,2286,240.0
Sweden,2020-03-25,2526,240.0
Sweden,2020-03-26,2840,314.0
Sweden,2020-03-27,3069,229.0
Sweden,2020-03-28,3447,378.0
