Country,Date,Cases
Norway,2/19/20,0
Sweden,2/19/20,1
Denmark,2/20/20,0
Finland,2/20/20,1
Norway,2/20/20,0
Sweden,2/20/20,1
Denmark,2/21/20,0
Finland,2/21/20,1
Norway,2/21/20,0
Sweden,2/21/20,1
Denmark,2/22/20,0
Finland,2/22/20,1
Norway,2/22/20,0
Sweden,2/22/20,1
Denmark,2/23/20,0
Finland,2/23/20,1
Norway,2/23/20,0
Sweden,2/23/20,1
Denmark,2/24/20,0
Finland,2/24/20,1
Norway,2/24/20,0
Sweden,2/24/20,1
Denmark,2/25/20,0
Finland,2/25/20,1
Norway,2/25/20,0
Sweden,2/25/20,1
Denmark,2/26/20,0
Finland,2/26/20,2
Norway,2/26/20,1
Sweden,2/26/20,2
Denmark,2/27/20,1
Finland,2/27/20,2
Norway,2/27/20,1
Sweden,2/27/20,7
Denmark,2/28/20,1
Finland,2/28/20,2
Norway,2/28/20,6
Sweden,2/28/20,7
Denmark,2/29/20,3
Finland,2/29/20,3
Norway,2/29/20,15
Sweden,2/29/20,12
Denmark,3/1/20,4
Finland,3/1/20,6
Norway,3/1/20,19
Sweden,3/1/20,14
Denmark,3/2/20,4
Finland,3/2/20,6
Norway,3/2/20,25
Sweden,3/2/20,15
Denmark,3/3/20,6
Finland,3/3/20,6
Norway,3/3/20,32
Sweden,3/3/20,21
Denmark,3/4/20,10
Finland,3/4/20,6
Norway,3/4/20,56
Sweden,3/4/20,35
Denmark,3/5/20,10
Finland,3/5/20,12
Norway,3/5/20,87
Sweden,3/5/20,94
Denmark,3/6/20,23
Finland,3/6/20,15
Norway,3/6/20,108
Sweden,3/6/20,101
Denmark,3/7/20,23
Finland,3/7/20,15
Norway,3/7/20,147
Sweden,3/7/20,161
Denmark,3/8/20,35
Finland,3/8/20,23
Norway,3/8/20,176
Sweden,3/8/20,203
Denmark,3/9/20,90
Finland,3/9/20,30
Norway,3/9/20,205
Sweden,3/9/20,248
Denmark,3/10/20,262
Finland,3/10/20,40
Norway,3/10/20,400
Sweden,3/10/20,355
Denmark,3/11/20,442
Finland,3/11/20,59
Norway,3/11/20,598
Sweden,3/11/20,500
Denmark,3/12/20,615
Finland,3/12/20,59
Norway,3/12/20,702
Sweden,3/12/20,599
Denmark,3/13/20,801
Finland,3/13/20,155
Norway,3/13/20,996
Sweden,3/13/20,814
Denmark,3/14/20,827
Finland,3/14/20,225
Norway,3/14/20,1090
Sweden,3/14/20,961
Denmark,3/15/20,864
Finland,3/15/20,244
Norway,3/15/20,1221
Sweden,3/15/20,1022
Denmark,3/16/20,914
Finland,3/16/20,277
Norway,3/16/20,1333
Sweden,3/16/20,1103
Denmark,3/17/20,977
Finland,3/17/20,321
Norway,3/17/20,1463
Sweden,3/17/20,1190
Denmark,3/18/20,1057
Finland,3/18/20,336
Norway,3/18/20,1550
Sweden,3/18/20,1279
Denmark,3/19/20,1151
Finland,3/19/20,400
Norway,3/19/20,1746
Sweden,3/19/20,1439
Denmark,3/20/20,1255
Finland,3/20/20,450
Norway,3/20/20,1914
Sweden,3/20/20,1639
Denmark,3/21/20,1326
Finland,3/21/20,523
Norway,3/21/20,2118
Sweden,3/21/20,1763
Denmark,3/22/20,1395
Finland,3/22/20,626
Norway,3/22/20,2385
Sweden,3/22/20,1934
Denmark,3/23/20,1450
Finland,3/23/20,700
Norway,3/23/20,2621
Sweden,3/23/20,2046
Denmark,3/24/20,1591
Finland,3/24/20,792
Norway,3/24/20,2863
Sweden,3/24/20,2286
Denmark,3/25/20,1724
Finland,3/25/20,880
Norway,3/25/20,3084
Sweden,3/25/20,2526
Denmark,3/26/20,1877
Finland,3/26/20,958
Norway,3/26/20,3369
Sweden,3/26/20,2840
Denmark,3/27/20,2046
Finland,3/27/20,1041
Norway,3/27/20,3755
Sweden,3/27/20,3069
